Nets,Epochs,"Training Time
 (seconds)",Best Loss,"Testing Time
 (seconds)","Mean Score
 Loss","Mean
 R2
 Score","Mean Cosine
 Similarity 
 Score","Mean 
 Activation
 Recall","Mean
 Activation 
 Precision"
"GRUnet
 Trained with L1",54,62,0.012,0.15,0.017,0.66,0.87,0.8,0.93
"GRUnet
 Trained with MSE",58,66,0.0010,0.15,0.0014,0.71,0.90,0.83,0.89
"GRUnet
 Trained with RMSE",77,102,0.030,0.16,0.034,0.74,0.90,0.83,0.90
"GRUnetNeg
 Trained with L1",63,89,0.013,0.16,0.017,0.69,0.88,1,0.63
"GRUnetNeg
 Trained with MSE",95,127,0.0010,0.15,0.0013,0.72,0.90,1,0.64
"GRUnetNeg
 Trained with RMSE",85,127,0.031,0.17,0.033,0.74,0.9,1,0.64
"GRUnetPack
 Trained with L1",71,287,0.062,0.3,0.015,0.71,0.90,0.93,0.94
"GRUnetPack
 Trained with MSE",78,295,0.005,0.3,0.0013,0.74,0.90,0.85,0.89
"GRUnetPack
 Trained with RMSE",73,311,0.133,0.3,0.033,0.74,0.90,0.84,0.90
"GRUnetSig
 Trained with L1",100,500,0.073,0.4,0.024,0.61,0.85,0.88,0.84
"GRUnetSig
 Trained with MSE",100,476,0.020,0.31,0.0020,0.58,0.85,0.88,0.85
"GRUnetSig
 Trained with RMSE",93,489,0.160,0.32,0.041,0.62,0.86,0.88,0.85
"GRUnetSeq
 Trained with L1",64,14705,0.065,3.99,0.017,0.73,0.89,1.0,0.64
"GRUnetSeq
 Trained with MSE",61,13664,0.0052,3.95,0.0013,0.74,0.90,1.0,0.64
"GRUnetSeq
 Trained with RMSE",48,10850,0.134,3.98,0.033,0.74,0.90,1.0,0.64
"GRUnetAtt
 Trained with L1",49,35346,0.065,9.6,0.0168,0.72,0.89,1,0.64
"GRUnetAtt
 Trained with MSE",40,30092,0.0053,9.7,0.0013,0.72,0.9,1,0.64
"GRUnetAtt
 Trained with RMSE",51,37811,0.129,9.8,0.0322,0.75,0.9,1,0.64
"FCnet
 Trained with L1",35,68,0.099,0.1,0.025,0.44,0.78,0.75,0.87
"FCnet
 Trained with MSE",32,54,0.010,0.1,0.0023,0.51,0.80,0.80,0.79
"FCnet
 Trained with RMSE",45,99,0.197,0.1,0.05,0.45,0.78,0.81,0.79
