index_in_lagMeasure_csv,frame_diff_(au-bs),openface_framerate,arkit_framerate,action_unit_csv,blend_shape_csv
42,-90,58.34464043419268,60.00159212145432,082b6e2e-1998-5c3c-892f-5cef247522d6!high!EMOTION100_043!14-49-57-24.csv,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_high_EMOTION100_043_whole.csv
101,-77,58.18300016252235,60.13154293392166,082b6e2e-1998-5c3c-892f-5cef247522d6!high!vowel_1!14-51-01-49.csv,082b6e2e-1998-5c3c-892f-5cef247522d6_vowel_high_vowel_1_whole.csv
105,427,58.3167660702452,60.001594266187,082b6e2e-1998-5c3c-892f-5cef247522d6!low!EMOTION100_001!14-09-18-40.csv,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_low_EMOTION100_001_whole.csv
258,-206,58.050383351588174,59.897781373720846,082b6e2e-1998-5c3c-892f-5cef247522d6!muffled!EMOTION100_049!14-27-24-24.csv,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_muffled_EMOTION100_049_whole.csv
322,-63,58.00532701982835,59.993673634151726,082b6e2e-1998-5c3c-892f-5cef247522d6!normal!EMOTION100_008!13-47-46-21.csv,082b6e2e-1998-5c3c-892f-5cef247522d6_ita_normal_EMOTION100_008_whole.csv
593,-317,57.952755905511815,60.00158018760085,1e3ce60a-3f76-5098-8be0-82e341ee9541!low!EMOTION100_069!22-25-01-59.csv,1e3ce60a-3f76-5098-8be0-82e341ee9541_ita_low_EMOTION100_069_whole.csv
705,-493,57.25376031052887,60.00158398514511,1e3ce60a-3f76-5098-8be0-82e341ee9541!muffled!EMOTION100_076!22-38-32-16.csv,1e3ce60a-3f76-5098-8be0-82e341ee9541_ita_muffled_EMOTION100_076_whole.csv
732,-67,58.14198441120708,60.00159187896821,1e3ce60a-3f76-5098-8be0-82e341ee9541!muffled!vowel_2!22-39-28-34.csv,1e3ce60a-3f76-5098-8be0-82e341ee9541_vowel_muffled_vowel_2_whole.csv
786,-359,58.008315185111854,59.909703580202056,1e3ce60a-3f76-5098-8be0-82e341ee9541!normal!EMOTION100_052!21-23-51-58.csv,1e3ce60a-3f76-5098-8be0-82e341ee9541_ita_normal_EMOTION100_052_whole.csv
933,-167,57.36280109262478,60.0015859715689,3981b034-eb04-517e-abbc-900244f15c11!high!EMOTION100_094!01-07-30-17.csv,3981b034-eb04-517e-abbc-900244f15c11_ita_high_EMOTION100_094_whole.csv
987,-346,57.64014466546112,59.90191037258889,3981b034-eb04-517e-abbc-900244f15c11!low!EMOTION100_043!00-50-21-51.csv,3981b034-eb04-517e-abbc-900244f15c11_ita_low_EMOTION100_043_whole.csv
1257,-69,58.55179581937868,60.00157504134484,3981b034-eb04-517e-abbc-900244f15c11!normal!vowel_2!17-23-35-06.csv,3981b034-eb04-517e-abbc-900244f15c11_vowel_normal_vowel_2_whole.csv
1345,174,58.23965558478833,60.00158342836777,b1b83ec4-bab9-599e-b08c-bde7ca309410!high!EMOTION100_086!00-34-13-35.csv,b1b83ec4-bab9-599e-b08c-bde7ca309410_ita_high_EMOTION100_086_whole.csv
1366,271,58.3819113230878,59.99236712498272,b1b83ec4-bab9-599e-b08c-bde7ca309410!low!EMOTION100_002!00-17-38-32.csv,b1b83ec4-bab9-599e-b08c-bde7ca309410_ita_low_EMOTION100_002_whole.csv
1507,-150,57.80845556514236,59.85838194201499,b1b83ec4-bab9-599e-b08c-bde7ca309410!muffled!EMOTION100_038!23-50-09-20.csv,b1b83ec4-bab9-599e-b08c-bde7ca309410_ita_muffled_EMOTION100_038_whole.csv
1594,71,58.423142370958594,59.82614627159421,b1b83ec4-bab9-599e-b08c-bde7ca309410!normal!EMOTION100_020!23-32-59-30.csv,b1b83ec4-bab9-599e-b08c-bde7ca309410_ita_normal_EMOTION100_020_whole.csv
